"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","gagadaga"
"Rogue","Outlaw","Maneuverability","Outlaw.Rogue","gagadaga"
"Hunter","Survival","Survival Tactics","Survival.Hunter","africano"
"Hunter","Survival","Mending Bandage","Survival.Hunter","africano"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","africano"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","demonicxs"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","demonicxs"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","demonicxs"
"Priest","Holy","Miracle Worker","Holy.Priest","ksys"
"Priest","Holy","Greater Fade","Holy.Priest","ksys"
"Priest","Holy","Ray of Hope","Holy.Priest","ksys"
"Druid","Restoration","Reactive Resin","Restoration.Druid","gloomster"
"Druid","Restoration","Thorns","Restoration.Druid","gloomster"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","gloomster"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","innerverse"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","innerverse"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","innerverse"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","kurimukeki"
"Paladin","Holy","Blessed Hands","Holy.Paladin","kurimukeki"
"Paladin","Holy","Divine Favor","Holy.Paladin","kurimukeki"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","lfgsomebichs"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","lfgsomebichs"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","lfgsomebichs"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","warried"
"Warrior","Fury","Enduring Rage","Fury.Warrior","warried"
"Warrior","Fury","Battle Trance","Fury.Warrior","warried"
"Priest","Holy","Ray of Hope","Holy.Priest","birdbrain"
"Priest","Holy","Miracle Worker","Holy.Priest","birdbrain"
"Priest","Holy","Greater Fade","Holy.Priest","birdbrain"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","kuzar"
"Hunter","Survival","Mending Bandage","Survival.Hunter","kuzar"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","kuzar"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","makmak"
"Priest","Discipline","Dome of Light","Discipline.Priest","makmak"
"Priest","Discipline","Dark Archangel","Discipline.Priest","makmak"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","homunculusx"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","homunculusx"
"Monk","Windwalker","Grapple Weapon","Windwalker.Monk","homunculusx"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","senseiww"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","senseiww"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","senseiww"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","bluejewlive"
"Druid","Restoration","Reactive Resin","Restoration.Druid","bluejewlive"
"Druid","Restoration","Thorns","Restoration.Druid","bluejewlive"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","lesty"
"Rogue","Assassination","Flying Daggers","Assassination.Rogue","lesty"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","lesty"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","kayern"
"Priest","Discipline","Dome of Light","Discipline.Priest","kayern"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","kayern"
"Warlock","Affliction","Rampant Afflictions","Affliction.Warlock","yawanur"
"Warlock","Affliction","Rapid Contagion","Affliction.Warlock","yawanur"
"Warlock","Affliction","Essence Drain","Affliction.Warlock","yawanur"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","parishealton"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","parishealton"
"Priest","Discipline","Dome of Light","Discipline.Priest","parishealton"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","dymerx"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","dymerx"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","dymerx"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","cmonnmann"
"Monk","Mistweaver","Eminence","Mistweaver.Monk","cmonnmann"
"Monk","Mistweaver","Zen Focus Tea","Mistweaver.Monk","cmonnmann"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","traptations"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","traptations"
"Hunter","Survival","Survival Tactics","Survival.Hunter","traptations"
"Priest","Holy","Miracle Worker","Holy.Priest","drxonevnine"
"Priest","Holy","Greater Fade","Holy.Priest","drxonevnine"
"Priest","Holy","Divine Ascension","Holy.Priest","drxonevnine"
"Mage","Arcane","Temporal Shield","Arcane.Mage","numbing"
"Mage","Arcane","Arcane Empowerment","Arcane.Mage","numbing"
"Mage","Arcane","Mass Invisibility","Arcane.Mage","numbing"
"Mage","Fire","Pyrokinesis","Fire.Mage","dodgex"
"Mage","Fire","Flamecannon","Fire.Mage","dodgex"
"Mage","Fire","Ring of Fire","Fire.Mage","dodgex"
"Druid","Restoration","Focused Growth","Restoration.Druid","taiwanzz"
"Druid","Restoration","Reactive Resin","Restoration.Druid","taiwanzz"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","taiwanzz"
"Demon Hunter","Havoc","Detainment","Havoc.Demon Hunter","jerryer"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","jerryer"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","jerryer"
"Priest","Shadow","Void Shift","Shadow.Priest","ttvenvyion"
"Priest","Shadow","Greater Fade","Shadow.Priest","ttvenvyion"
"Priest","Shadow","Psyfiend","Shadow.Priest","ttvenvyion"
"Shaman","Restoration","Tidebringer","Restoration.Shaman","exzar"
"Shaman","Restoration","Cleansing Waters","Restoration.Shaman","exzar"
"Shaman","Restoration","Living Tide","Restoration.Shaman","exzar"
"Druid","Feral","Thorns","Feral.Druid","hikari"
"Druid","Feral","Wicked Claws","Feral.Druid","hikari"
"Druid","Feral","Strength of the Wild","Feral.Druid","hikari"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","lumingfeii"
"Rogue","Assassination","Dismantle","Assassination.Rogue","lumingfeii"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","lumingfeii"
"Warrior","Fury","Bloodrage","Fury.Warrior","laros"
"Warrior","Fury","Battle Trance","Fury.Warrior","laros"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","laros"
"Priest","Shadow","Megalomania","Shadow.Priest","pissfeetxo"
"Priest","Shadow","Psyfiend","Shadow.Priest","pissfeetxo"
"Priest","Shadow","Void Volley","Shadow.Priest","pissfeetxo"
"Priest","Discipline","Dome of Light","Discipline.Priest","disciel"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","disciel"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","disciel"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","vendetta"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","vendetta"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","vendetta"
"Druid","Restoration","Focused Growth","Restoration.Druid","drucob"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","drucob"
"Druid","Restoration","Thorns","Restoration.Druid","drucob"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","hikuwu"
"Hunter","Survival","Survival Tactics","Survival.Hunter","hikuwu"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","hikuwu"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","theronpaul"
"Paladin","Holy","Divine Favor","Holy.Paladin","theronpaul"
"Paladin","Holy","Blessed Hands","Holy.Paladin","theronpaul"
"Druid","Restoration","Focused Growth","Restoration.Druid","mootata"
"Druid","Restoration","Early Spring","Restoration.Druid","mootata"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","mootata"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","rnmedic"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","rnmedic"
"Monk","Windwalker","Grapple Weapon","Windwalker.Monk","rnmedic"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","jowtzy"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","jowtzy"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","jowtzy"
"Warrior","Fury","Battle Trance","Fury.Warrior","grimgrip"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","grimgrip"
"Warrior","Fury","Enduring Rage","Fury.Warrior","grimgrip"
"Druid","Feral","Strength of the Wild","Feral.Druid","nightx"
"Druid","Feral","Leader of the Pack","Feral.Druid","nightx"
"Druid","Feral","Thorns","Feral.Druid","nightx"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","youlost"
"Monk","Mistweaver","Chrysalis","Mistweaver.Monk","youlost"
"Monk","Mistweaver","Eminence","Mistweaver.Monk","youlost"
"Priest","Holy","Miracle Worker","Holy.Priest","neverbeen"
"Priest","Holy","Holy Ward","Holy.Priest","neverbeen"
"Priest","Holy","Greater Fade","Holy.Priest","neverbeen"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","shazdo"
"Priest","Discipline","Blaze of Light","Discipline.Priest","shazdo"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","shazdo"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","mustymuffler"
"Hunter","Survival","Survival Tactics","Survival.Hunter","mustymuffler"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","mustymuffler"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","hausiengang"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","hausiengang"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","hausiengang"
"Warlock","Affliction","Rapid Contagion","Affliction.Warlock","drwongmd"
"Warlock","Affliction","Casting Circle","Affliction.Warlock","drwongmd"
"Warlock","Affliction","Rampant Afflictions","Affliction.Warlock","drwongmd"
"Druid","Restoration","Reactive Resin","Restoration.Druid","jegara"
"Druid","Restoration","Thorns","Restoration.Druid","jegara"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","jegara"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","cienna"
"Priest","Discipline","Dome of Light","Discipline.Priest","cienna"
"Priest","Discipline","Blaze of Light","Discipline.Priest","cienna"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","opriest"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","opriest"
"Priest","Discipline","Dome of Light","Discipline.Priest","opriest"
"Priest","Discipline","Blaze of Light","Discipline.Priest","pxdx"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","pxdx"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","pxdx"
"Hunter","Marksmanship","Roar of Sacrifice","Marksmanship.Hunter","milliionaire"
"Hunter","Marksmanship","Chimaeral Sting","Marksmanship.Hunter","milliionaire"
"Hunter","Marksmanship","Scatter Shot","Marksmanship.Hunter","milliionaire"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","ditzluzbeka"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","ditzluzbeka"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","ditzluzbeka"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","wzx"
"Warrior","Fury","Battle Trance","Fury.Warrior","wzx"
"Warrior","Fury","Warbringer","Fury.Warrior","wzx"
"Death Knight","Unholy","Necrotic Aura","Unholy.Death Knight","youresobad"
"Death Knight","Unholy","Necrotic Wounds","Unholy.Death Knight","youresobad"
"Death Knight","Unholy","Raise Abomination","Unholy.Death Knight","youresobad"
"Paladin","Holy","Divine Favor","Holy.Paladin","dawnbringerx"
"Paladin","Holy","Blessed Hands","Holy.Paladin","dawnbringerx"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","dawnbringerx"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","nahjy"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","nahjy"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","nahjy"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","robbo"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","robbo"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","robbo"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","bobacrowe"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","bobacrowe"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","bobacrowe"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","chun"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","chun"
"Rogue","Outlaw","Take Your Cut","Outlaw.Rogue","chun"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","heliodus"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","heliodus"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","heliodus"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","feelinbusty"
"Priest","Discipline","Dark Archangel","Discipline.Priest","feelinbusty"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","feelinbusty"
"Priest","Holy","Miracle Worker","Holy.Priest","majikx"
"Priest","Holy","Greater Fade","Holy.Priest","majikx"
"Priest","Holy","Ray of Hope","Holy.Priest","majikx"
"Shaman","Restoration","Living Tide","Restoration.Shaman","asnalda"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","asnalda"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","asnalda"
"Warrior","Arms","Sharpen Blade","Arms.Warrior","whenimgone"
"Warrior","Arms","Warbringer","Arms.Warrior","whenimgone"
"Warrior","Arms","War Banner","Arms.Warrior","whenimgone"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","norbury"
"Rogue","Subtlety","Thick as Thieves","Subtlety.Rogue","norbury"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","norbury"
"Druid","Restoration","Reactive Resin","Restoration.Druid","breezier"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","breezier"
"Druid","Restoration","Focused Growth","Restoration.Druid","breezier"
"Paladin","Protection","Guardian of the Forgotten Queen","Protection.Paladin","bustupz"
"Paladin","Protection","Judgments of the Pure","Protection.Paladin","bustupz"
"Paladin","Protection","Shield of Virtue","Protection.Paladin","bustupz"
"Warrior","Fury","Battle Trance","Fury.Warrior","kkona"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","kkona"
"Warrior","Fury","Warbringer","Fury.Warrior","kkona"
"Paladin","Retribution","Blessing of Sanctuary","Retribution.Paladin","frumples"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","frumples"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","frumples"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","tiktokfan"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","tiktokfan"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","tiktokfan"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","dvin"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","dvin"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","dvin"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","loopzo"
"Priest","Discipline","Blaze of Light","Discipline.Priest","loopzo"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","loopzo"
"Paladin","Protection","Guardian of the Forgotten Queen","Protection.Paladin","xelsz"
"Paladin","Protection","Steed of Glory","Protection.Paladin","xelsz"
"Paladin","Protection","Shield of Virtue","Protection.Paladin","xelsz"
"Hunter","Marksmanship","Scatter Shot","Marksmanship.Hunter","arrowfrombow"
"Hunter","Marksmanship","Chimaeral Sting","Marksmanship.Hunter","arrowfrombow"
"Hunter","Marksmanship","Survival Tactics","Marksmanship.Hunter","arrowfrombow"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","noheadx"
"Shaman","Restoration","Living Tide","Restoration.Shaman","noheadx"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","noheadx"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","cogbot"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","cogbot"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","cogbot"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","thewy"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","thewy"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","thewy"
"Druid","Restoration","Thorns","Restoration.Druid","sqwippy"
"Druid","Restoration","Reactive Resin","Restoration.Druid","sqwippy"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","sqwippy"
"Druid","Restoration","Reactive Resin","Restoration.Druid","disjecta"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","disjecta"
"Druid","Restoration","Focused Growth","Restoration.Druid","disjecta"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","exus"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","exus"
"Rogue","Subtlety","Thick as Thieves","Subtlety.Rogue","exus"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","blindwolfttv"
"Rogue","Assassination","Dismantle","Assassination.Rogue","blindwolfttv"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","blindwolfttv"
"Priest","Shadow","Megalomania","Shadow.Priest","melonsoda"
"Priest","Shadow","Void Shift","Shadow.Priest","melonsoda"
"Priest","Shadow","Greater Fade","Shadow.Priest","melonsoda"
"Priest","Holy","Miracle Worker","Holy.Priest","spiritbox"
"Priest","Holy","Ray of Hope","Holy.Priest","spiritbox"
"Priest","Holy","Greater Fade","Holy.Priest","spiritbox"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","bajalol"
"Shaman","Restoration","Skyfury Totem","Restoration.Shaman","bajalol"
"Shaman","Restoration","Living Tide","Restoration.Shaman","bajalol"
"Paladin","Holy","Blessed Hands","Holy.Paladin","fakepala"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","fakepala"
"Paladin","Holy","Divine Favor","Holy.Paladin","fakepala"
"Hunter","Marksmanship","Chimaeral Sting","Marksmanship.Hunter","danathiccs"
"Hunter","Marksmanship","Scatter Shot","Marksmanship.Hunter","danathiccs"
"Hunter","Marksmanship","Survival Tactics","Marksmanship.Hunter","danathiccs"
"Paladin","Holy","Blessed Hands","Holy.Paladin","calandrya"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","calandrya"
"Paladin","Holy","Divine Favor","Holy.Paladin","calandrya"
"Hunter","Survival","Survival Tactics","Survival.Hunter","kynassabe"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","kynassabe"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","kynassabe"
"Priest","Holy","Miracle Worker","Holy.Priest","zazu"
"Priest","Holy","Greater Fade","Holy.Priest","zazu"
"Priest","Holy","Ray of Hope","Holy.Priest","zazu"
"Paladin","Protection","Judgments of the Pure","Protection.Paladin","protdream"
"Paladin","Protection","Shield of Virtue","Protection.Paladin","protdream"
"Paladin","Protection","Guardian of the Forgotten Queen","Protection.Paladin","protdream"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","notyeezymode"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","notyeezymode"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","notyeezymode"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","mukungi"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","mukungi"
"Shaman","Restoration","Living Tide","Restoration.Shaman","mukungi"
"Warrior","Arms","Sharpen Blade","Arms.Warrior","borattoo"
"Warrior","Arms","Warbringer","Arms.Warrior","borattoo"
"Warrior","Arms","Death Sentence","Arms.Warrior","borattoo"
"Hunter","Beast Mastery","Roar of Sacrifice","Beast Mastery.Hunter","getlownoob"
"Hunter","Beast Mastery","Survival Tactics","Beast Mastery.Hunter","getlownoob"
"Hunter","Beast Mastery","Kindred Beasts","Beast Mastery.Hunter","getlownoob"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","hickery"
"Rogue","Assassination","Dismantle","Assassination.Rogue","hickery"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","hickery"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","frostdh"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","frostdh"
"Demon Hunter","Havoc","Chaotic Imprint","Havoc.Demon Hunter","frostdh"
"Priest","Holy","Miracle Worker","Holy.Priest","zeusqt"
"Priest","Holy","Greater Fade","Holy.Priest","zeusqt"
